,Rating,Reviews
0,3.0,"No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.
1.Bluetooth range not more than 10m
2. Pain in ear due the conical buds(can be removed)
3. Wires are a bit long which makes it odd in front.
4. No pouch provided.
5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice."
1,1.0,"This earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.

Guys,
Also for the proof i have attached pics
Please see and think before buying​ this unreliable product.

Thanks."
2,4.0,"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.
Sound quality is really good.
You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.
Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.
Comfortable on ear."
3,5.0,"Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...
But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon..."
4,1.0,"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one."
5,1.0,Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
6,4.0,"Sound-4.5/5
Build quality-4.5/5
Battery life -4/5
Earphones quality is good with strong magnetic lock... Straps is good quality and the earphones wires are too good... Buttons quality is good.. sound is full of punchy bass and and balanced treble and has sorrund effect.. good fitting in ears.. hope connectivity is good.. bcz my last boat Bluetooth bassheads 225 had connection issues... This is worth its price... Hope the packaging was good ...there was no bubble wrapping.."
7,3.0,"After one month usage reviewing this .
Pros-
1- sound quality
2- design
3- weight
4- battery
Cons
1- very bad mic for talking
2- can't use while riding bike
3 - Music is too loud"
8,1.0,"The product durability is 1 month..
I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty.. And after purchasing u must register ur product in boat's site for replacement and warranty"
9,1.0,What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed
10,3.0,"No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.
1.Bluetooth range not more than 10m
2. Pain in ear due the conical buds(can be removed)
3. Wires are a bit long which makes it odd in front.
4. No pouch provided.
5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice."
11,1.0,"This earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.

Guys,
Also for the proof i have attached pics
Please see and think before buying​ this unreliable product.

Thanks."
12,4.0,"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.
Sound quality is really good.
You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.
Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.
Comfortable on ear."
13,5.0,"Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...
But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon..."
14,1.0,"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one."
15,1.0,Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
16,4.0,"Sound-4.5/5
Build quality-4.5/5
Battery life -4/5
Earphones quality is good with strong magnetic lock... Straps is good quality and the earphones wires are too good... Buttons quality is good.. sound is full of punchy bass and and balanced treble and has sorrund effect.. good fitting in ears.. hope connectivity is good.. bcz my last boat Bluetooth bassheads 225 had connection issues... This is worth its price... Hope the packaging was good ...there was no bubble wrapping.."
17,3.0,"After one month usage reviewing this .
Pros-
1- sound quality
2- design
3- weight
4- battery
Cons
1- very bad mic for talking
2- can't use while riding bike
3 - Music is too loud"
18,1.0,"The product durability is 1 month..
I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty.. And after purchasing u must register ur product in boat's site for replacement and warranty"
19,1.0,What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed
20,4.0,"The sound quality is good. I mean it can’t be compared with Senheiser or Bose but its worth the price.
Perfect to use while running; the earbuds are so comfortable that you wouldn’t even feel they are plugged in."
